SIT_MATRICULA,RENDA_FAMILIAR,ANO_CONCLUSAO_2_GRAU,RENDA_PER_CAPITA,N_FILHOS,SEXO,PROFISSAO,DESC_CIDADE,DESC_IDIOMA,NIVEL_FALA,NIVEL_COMPREENSAO,NIVEL_ESCRITA,NIVEL_LEITURA,NOTAS,N_FALTAS,CARGA_HOR,ANO_INGRESSO,IDADE_INGRESSO,APROVADO
0,0,2012,10,0,0,0,0,1,0,0,0,0,6.0,0,54,2013,19,1
1,0,2012,10,0,0,0,1,1,0,0,0,0,6.0,0,54,2013,18,1
1,0,2011,10,0,0,0,0,1,0,0,0,0,0.0,70,54,2013,19,0
1,0,2011,10,0,0,0,0,1,0,0,0,0,0.0,0,54,2013,19,0
1,0,2011,10,0,0,0,0,1,0,0,0,0,0.0,0,54,2013,19,0
1,0,2010,2,0,0,0,0,1,0,0,0,0,6.0,0,54,2013,20,1
0,0,2012,10,0,0,0,0,1,2,3,3,3,6.0,0,54,2013,18,1
0,0,2012,10,0,0,0,0,2,1,2,2,3,6.0,0,54,2013,18,1
0,0,2013,10,0,0,0,0,1,2,2,2,2,0.0,56,54,2013,21,0
0,0,2013,10,0,0,0,0,4,2,2,2,2,0.0,56,54,2013,21,0
0,0,2013,10,0,0,0,0,1,2,2,2,2,0.0,22,54,2013,21,0
0,0,2013,10,0,0,0,0,4,2,2,2,2,0.0,22,54,2013,21,0
0,0,2013,10,0,0,0,0,1,2,2,2,2,0.0,0,54,2013,21,0
0,0,2013,10,0,0,0,0,4,2,2,2,2,0.0,0,54,2013,21,0
0,0,2004,10,0,0,0,0,1,0,0,0,0,6.0,0,54,2013,26,1
1,0,2013,10,0,0,0,0,1,0,0,0,0,0.0,0,54,2013,19,0
1,0,2013,10,0,0,0,0,1,0,0,0,0,0.0,0,54,2013,19,0
0,0,2001,10,0,0,1,0,2,1,3,1,2,6.0,0,54,2013,30,1
0,4,2007,8,0,1,0,0,1,1,1,2,2,6.5,0,54,2013,24,1
0,4,2007,8,0,1,0,0,3,1,1,1,1,6.5,0,54,2013,24,1
1,0,2010,10,0,0,0,0,2,1,1,1,1,7.5,0,54,2013,20,1
1,0,2010,10,0,0,0,0,1,1,1,1,1,7.5,0,54,2013,20,1
0,0,2006,10,0,0,1,0,1,0,0,0,0,6.0,0,54,2013,24,1
0,0,2010,10,0,0,0,0,1,2,3,2,3,6.0,0,54,2013,20,1
1,4,1992,5,0,0,1,0,1,0,0,0,0,7.0,0,54,2013,51,1
0,3,2012,8,0,0,0,1,1,0,0,0,0,6.0,0,54,2013,18,1
1,4,2012,8,0,1,0,1,1,0,0,0,0,0.0,0,54,2013,18,0
0,4,2010,0,0,0,0,0,1,2,2,2,2,9.5,0,54,2013,19,1
0,4,2010,0,0,0,0,0,2,1,2,1,2,9.5,0,54,2013,19,1
1,0,2012,10,0,1,1,0,2,1,1,1,1,7.7,0,54,2013,17,1
1,0,2011,10,0,1,0,0,1,0,0,0,0,7.5,0,54,2013,18,1
0,0,2012,10,0,0,0,0,1,0,0,0,0,0.0,64,54,2013,18,0
0,0,2012,10,0,0,0,0,1,0,0,0,0,6.0,0,54,2013,18,1
1,0,2012,10,0,0,0,0,1,0,0,0,0,6.0,0,54,2013,18,1
1,0,2012,10,0,0,0,0,1,2,3,2,2,7.0,0,54,2013,18,1
0,4,2012,8,0,1,0,1,1,3,3,3,3,6.5,0,54,2013,18,1
0,4,2012,8,0,1,0,1,2,1,1,1,2,6.5,0,54,2013,18,1
1,0,2012,10,0,0,0,0,1,2,2,2,2,6.0,0,54,2013,18,1
1,0,2012,10,0,0,0,0,2,1,1,1,1,6.0,0,54,2013,18,1
0,4,2008,10,0,1,0,1,1,1,1,1,1,6.2,0,54,2013,22,1
0,0,2012,10,0,0,0,0,1,0,0,0,0,7.2,0,54,2013,19,1
1,4,2012,1,0,1,0,0,1,0,0,0,0,7.2,0,54,2013,18,1
1,4,2012,10,0,0,0,0,1,1,2,1,2,6.0,0,54,2014,19,1
0,0,2012,10,0,0,0,3,1,2,3,1,3,6.0,2,54,2013,17,1
1,0,2012,10,0,1,0,1,1,1,2,1,2,9.5,0,54,2013,18,1
1,6,2004,6,0,0,0,0,1,0,0,0,0,5.0,0,54,2013,27,0
1,6,2004,6,0,0,0,0,1,0,0,0,0,6.0,0,54,2013,27,1
0,0,2011,10,0,0,0,0,1,3,3,3,3,6.7,0,54,2013,19,1
1,0,2004,10,0,0,0,0,1,0,0,0,0,6.2,0,54,2013,27,1
1,0,2011,10,0,0,0,0,1,3,3,3,3,5.7,0,54,2013,19,0
0,0,2012,10,0,0,0,0,1,0,0,0,0,6.0,0,54,2013,18,1
0,0,2011,10,0,0,0,1,1,1,2,2,2,6.6,0,54,2013,20,1
1,0,2010,10,0,0,0,0,1,0,0,0,0,0.0,0,54,2013,21,0
1,0,2012,10,0,0,0,0,1,3,3,3,3,6.5,0,54,2013,16,1
1,0,2012,10,0,1,0,0,1,2,2,2,2,6.7,0,54,2013,17,1
0,0,2012,10,0,0,0,0,1,0,0,0,0,9.5,0,54,2013,18,1
0,0,2011,10,0,0,0,0,1,2,2,2,2,6.7,0,54,2013,19,1
1,3,2012,10,0,0,0,0,1,0,0,0,0,9.5,0,54,2013,18,1
1,0,2009,10,0,0,0,0,1,0,0,0,0,6.0,0,54,2013,25,1
1,0,2009,10,0,0,0,0,1,0,0,0,0,4.2,0,54,2013,25,0
0,4,1997,8,0,0,0,0,1,0,0,0,0,7.3,0,54,2013,34,1
0,4,2010,8,0,0,0,0,1,1,1,2,2,5.6,0,54,2013,21,0
0,4,2007,8,0,0,0,0,1,2,3,2,3,5.3,0,54,2013,23,0
0,4,2010,8,0,0,0,0,1,2,2,2,2,5.3,0,54,2013,20,0
1,5,2004,8,0,0,1,0,1,0,0,0,0,5.8,0,54,2013,28,0
0,4,2010,8,0,0,1,0,1,0,0,0,0,5.4,0,54,2013,20,0
0,4,2013,8,0,0,0,0,1,0,0,0,0,5.0,0,54,2013,50,0
1,5,2011,8,0,0,1,0,1,0,0,0,0,6.7,0,54,2013,20,1
0,5,2001,7,0,0,1,1,1,3,3,3,3,5.0,0,54,2013,29,0
1,4,1995,4,1,0,1,0,1,0,0,0,0,10.0,0,54,2013,35,1
1,4,1999,8,0,0,0,1,1,0,0,0,0,6.0,0,54,2013,32,1
1,4,2013,8,0,0,0,0,1,0,0,0,0,0.0,0,54,2013,18,0
0,4,2012,8,0,1,0,1,1,0,0,0,0,7.7,0,54,2013,18,1
0,0,2012,8,0,0,0,0,1,2,2,2,2,7.5,0,54,2014,20,1
0,4,2012,8,0,0,0,0,1,0,0,0,0,10.0,0,54,2013,18,1
0,0,2009,10,0,0,0,0,1,1,2,2,2,6.5,0,54,2013,21,1
1,1,2011,8,0,0,0,0,1,0,0,0,0,9.7,0,54,2013,18,1
1,4,1986,8,0,1,1,0,1,0,0,0,0,0.0,2,54,2013,35,0
1,4,1986,8,0,1,1,0,1,0,0,0,0,0.0,26,54,2013,35,0
1,4,1986,8,0,1,1,0,1,0,0,0,0,0.0,0,54,2013,35,0
1,4,1986,8,0,1,1,0,1,0,0,0,0,0.0,0,54,2013,35,0
0,4,2011,1,0,1,0,0,1,0,0,0,0,7.0,0,54,2013,19,1
0,0,2011,0,0,0,0,3,1,0,0,0,0,0.0,10,54,2012,18,0
0,0,2011,0,0,0,0,3,1,0,0,0,0,7.2,0,54,2012,18,1
0,4,2011,8,0,1,0,0,1,0,0,0,0,6.0,0,54,2012,18,1
0,4,2010,8,0,1,0,0,4,2,2,1,3,6.0,0,54,2012,20,1
0,4,2010,8,0,1,0,0,1,1,2,2,3,6.0,0,54,2012,20,1
0,4,2010,8,0,1,0,0,4,2,2,1,3,2.6,0,54,2012,20,0
0,4,2010,8,0,1,0,0,1,1,2,2,3,2.6,0,54,2012,20,0
0,0,2004,10,1,0,1,0,1,0,0,0,0,6.0,0,54,2015,43,1
0,0,2012,0,0,1,0,1,1,0,0,0,0,8.5,0,54,2012,17,1
0,0,2011,10,0,0,0,2,1,1,1,1,1,9.0,0,54,2012,18,1
1,0,2012,0,0,0,0,0,1,0,0,0,0,0.0,2,54,2012,18,0
1,0,2012,0,0,0,0,0,1,0,0,0,0,0.0,70,54,2012,18,0
0,0,2011,0,0,1,0,1,1,1,1,1,1,7.0,0,54,2012,18,1
1,0,2011,10,0,0,0,0,1,3,3,3,3,6.0,0,54,2012,18,1
1,0,2009,3,0,1,0,0,1,0,0,0,0,1.0,0,54,2012,20,0
